Cote;Type;DataType;Dates;Titre;Sous-titre;Auteur;Destinataire;Sujet;Description;Notes;Résumé;Éditeur;Localisation;Droits;Ayants-droit;Format;Langue;État génétique;Relations génétiques;Autres ressources en relation;Nature du document;Support;État général;Publication;Représentation;Contexte géographique;Lieu d'expédition;Type de publication;Titre de la publication;Lieu de publication;Numéro de la publication;Périodicité;Directeur de la publication;Auteur analyse;Date analyse;Auteur description;Date création notice;Auteur révision;Date révision notice;Auteur transcription
 MX-F-200;Photos;Picture;1905-1920;Photo of  Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Margarita Xirgu;The original file is called:26814657_1679285252114524_4655590817638660113_n[1].jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;640 × 421 73 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipOswzhQ-WnOcI_R-4tJ694vwpLMPYCZ9ldgPK0UM885wMKpYvyOmrYFrIXFs12Yvw/photo/AF1QipOrfRB8aEoL4FBxNtdbU3yMMFr67EAhwmPRA9VH?key=NnZqbzZZbFpkcFV3bXNZNnk0TXhFSnFmQk9zZTJn   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-201;Photos;Picture;1905-1920;Photo of  Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Margarita Xirgu;The original file is called:l226993651_1679311555445227_4539803161203021041_n[1].jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;724 × 911 92,5 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipOswzhQ-WnOcI_R-4tJ694vwpLMPYCZ9ldgPK0UM885wMKpYvyOmrYFrIXFs12Yvw/photo/AF1QipMD62ZM0JK96UDPBjYi0OCLRvbJEL9oSSc_FNUz?key=NnZqbzZZbFpkcFV3bXNZNnk0TXhFSnFmQk9zZTJn   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-202;Photos;Picture;1905-1920;Photo of  Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Margarita Xirgu;The original file is called: 27072787_1679300868779629_7995603465324645621_n[1].jpg https://photos.google.com/share/AF1QipOswzhQ-WnOcI_R-4tJ694vwpLMPYCZ9ldgPK0UM885wMKpYvyOmrYFrIXFs12Yvw/photo/AF1QipNP31gsNJsYKghdqrU47HqImHrAkthmX2QGOoPc?key=NnZqbzZZbFpkcFV3bXNZNnk0TXhFSnFmQk9zZTJn;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;729 × 931 95,8 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipOswzhQ-WnOcI_R-4tJ694vwpLMPYCZ9ldgPK0UM885wMKpYvyOmrYFrIXFs12Yvw/photo/AF1QipNP31gsNJsYKghdqrU47HqImHrAkthmX2QGOoPc?key=NnZqbzZZbFpkcFV3bXNZNnk0TXhFSnFmQk9zZTJn   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-203;Photos;Picture;1905-1920;Photo of  Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Margarita Xirgu;The original file is called:  26991928_1679303078779408_4825208112814744826_n[1].jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;676 × 928 83,5 ko;;;;;File JPG;Digital;Good;https://lh3.googleusercontent.com/C6hmsRhMwfLRCd1_110iFKdg7LzkkoOgH2vF0UypoHlqSmkytixqTIfYEIGFcL2xf1ADrzAxRES7eN6KH6iMWMBc1jx7-I5KVkkgUE5cxkhUTJkVpdfh9SZ7hKCw9f-Oe42n_2zrooKbSj-Or8zgocO3cOVVI6I2Gkf-1YYtjaxQj_EleHx5JS3TsplQ0A45fuyEzDT8CwY4b7ULi04NYQupSZLBpFh5gwSd3-FyXW_IUbifbyG0DAdgliZz-_T8WJMfW2gyWOQ9DuRJ1BWQGwp1QHPUvFa6qJUmb-qzAV6ByxW08bLJYBX_3iwV8mSPSknCNLTGvOYTGCG-e5bjxh2dWUqHxVNJ91uN23nnFInD6qL6an6KNiXjcuBqu-u6TMf30PeOlISXEqogumV72vuIzLzMzjSKUh0yb_R0oAlreXiIKSM7SRuUoSG2PZVeAaWfUFhZY9XLOz7S2BHYmEjrB_zxyadS6ZLG29Bzi3xYh4Jpk1Lp4WJG_cPvpW2tOwgjhO4Hldt04bFWw8LSbA7gdQ6Ib2iieJMACQDtH1rkArwrCeEB-v7GeOjxPeU5AI7AyNKG0s7uXp3KFlLMYedVS-N6r-XygvQHM90IbdCvoEjJRdY7Ui98AWtwSbCD2u8x4Z01zZO5EAM3N2gRtPK9fwtnSrlGsFgOYOXxm4-ovPaPXGiZJYSeHooqn3kBIdu1xBHoB9XxrEFSn05d8eBdgavWpRD34r-nR7c_9DRMVyqSOA=w480-h657-no   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-204;Photos;Picture;1910;Photo of  Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Photo of Margarita Xirgu during her wedding;The original file is called: 26804527_1679214325454950_6363708247394963442_n[1].jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;665 × 883 100,5 ko;;;;;File JPG;Digital;Good;https://lh3.googleusercontent.com/XgfxchVpe-xfQ9pBtwfqHdFA9EqNzuER4Pl2ND2ZTnunosCmF-W5IltC_O6xCczEX_T5pxkEG21Q-RRou0JGwhDHoklBjpxpKqF2mghblHsB_xWaHRGYYtSFBy8leCArxz6BbHAteFL4N9JBZkPjbZdofoQN4iWyUUe74g8hUsQ0wiVARQ96Fk4DSur9ix4_9EW43n80jPFQ-mtOTFS8qtiOS28MzgH8-R-7kLzGmW1PwO7Tb1E_IZ6tCZzCLEOAJqONqSVWrWFPafX5nWFHtqhraB9iKD42YbILIIJNJq3gJk_LS1NkX_1o3kmsru7S3OzWqttneP5mpJeq4B1DhVRzis7GYEWlDsJCJNIPpn5zPioJPF6wGP7SDhbOJanVM434N06noljLgZGERKMZAuZfrlw-kkf1gshsggIyLLd1ASqNRf52Y5b-IO5ApYjssNr8izMtsvf2eRDng1qijf9eWSYZxoUYvaGd5GcTMJ3X5y7lrabMxkeo241yMXwKFALhpr7ZE-MZsoU_l1xe1-REvOZqEX3k5x9POJmZS40eTwB626iUagR-2WD7K-3nfk5IrPI4zcES9yARLhszTkFXV8esdfdMK33tjeGlU11fgIyuQP0cAVrGXb3dqtTngIpPJcKgbUW6W8l3aoAKn15KYSMOzZYTFdw8AV37HDAaS-MdYROANyZX7-MBk-T4skia49vJI1UOzfOU-HXOkx6z6iYyDhOrQ1VLqaT_m5hY-FVacA=w495-h657-no   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-205;Photos;Picture;1910;Photo of  Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Photo of Margarita Xirgu during her wedding;The original file is called:  26907155_1679379458771770_307911371846341967_n[1].jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;726 × 960 62,4 ko;;;;;File JPG;Digital;Good;https://lh3.googleusercontent.com/6uWYFVBeL6raxssx8tqX0tZ0c9lMAj2rNSW7vFZ56cyKmGo6gRFSw9RstyKygIiqVMDn8BiUOZWrcE3V1v4iAfBZMn2PXELaHadHgdeJ3R92aT9Y1HFWQVY4N6kJEoqXjfXy6Ud5AtSxGT0G98d7tYjk5eU40PBWEXPMlbq1SJhADQe2SAkw0LpvABnGpIoSJogpqfKfgnm77s_LD5iHH7sUsKet7-YIAr3GeGLIVoPR2oNaI0oKE9Zz7noEjN0KoTRsrU_yi_pkL6WHJ3TFB-DuCIzdTHSgjFwXHzgsGBG5I5-OJZ3SoYMLJYlZsQFSSvr-hlE9BzeRHltpjZWYfdDWZP8aaG8mdWUOpyTZgszE0e7wV0ag5K7bXHkXNeYct-OKmovZBYCXFGQgHwBzWvEQrj_PgCuNqOdZkvSCJjw48JbpR2N0SqiHE4aO2-nfDq_D8712_HTczbavouyIbazvEoTA3jTNaLeS_PYhHwRdUfmiLyltOqrrNw-TSB7V8ecH2cymY7BLQOyEFQziv7uOFV_LrhLyaiIqiHb5fYp9TZKMGVq0bZZE2zNbiF8Ip6Z3OOlnXRlxyJR1uD4zGVn4M8VUbyva8BmBvknDBZrrfHBd0n3j9rMDhmyWc2GUsrtPOe_BP1AtPBGTmuMDRNYT36RdARhRI1OJeDBLluVFdFuwcXQXev3x32PZhA47r05rLx6GJ5D_suVC-2MOKftyQT05ykKAaDq5yD4Y_AFH3WGFQg=w498-h657-no   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-206;Photos;Picture;1910;Photo of  Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Photo of Margarita Xirgu during her wedding;The original file is called: 26814854_1679355222107527_1877908310201444378_n[1].jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;579 × 881 77,2 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipOswzhQ-WnOcI_R-4tJ694vwpLMPYCZ9ldgPK0UM885wMKpYvyOmrYFrIXFs12Yvw/photo/AF1QipM1I12pxfJxJeTdbPZw8yUT8C3UvaPgAiS2Pwa5?key=NnZqbzZZbFpkcFV3bXNZNnk0TXhFSnFmQk9zZTJn   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-207;Photos;Picture;1905-1920;Photo of  Mragarita Xirgu;;undetermined;;Margarita  Xirgu;" Portrait of the actress Margarita Xirgu in the role of Margarita Gautier in the play: ""La dama de las camelias""";The original file is called:26815417_1679377498771966_3434171073721555476_n.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;640 × 431 58,2 ko;;;;;File JPG;Digital;Good;https://lh3.googleusercontent.com/5gKSDwMzD1_G-ZcxuIzNsXnbbO5SaK5x_KCiMUgsvnKmdAvJyuEt0_eXZe_85qjA5nYfC0tLVxCL1CItlLqo-aAj-k0nbKiAr1cqBED0CLYX0bliB3Y0C7RumsURicvretwJz-5kGO2lVArs6eN9IFgHMkAsfHWb6d8a2JRVSnJmFCE3oP55prChY5cR0eMetD9DVo8NifxloNPJRkKPjRnJwJId86qEUDHYujPRr2cf__Dgt6ZAqFryYGkMlb3Em7WO0sz0PXWQdVjg5tGKatVtsZm6js151QPwFpEUClHCYxNr5dTmdxN-oTGHRPIryigftt0kOrddCZsr-Afj-4Rcv6JUz2QeA8kBpy1-6rNtXV0SI98K9F56xVorYEc2aoqMCQviIoM_oqZNLOz6EaqMP-tzwLOsrbhnh-m0qNsYOE0Mdj3n51CfGDUF08YUFCSSvjFcXuGpux5Ij7WV1c-ZOKHUqBk432HrO4a3hIWzJxWGCbNEIN22sNu2IeYTdPJSNuV0TNA5S4ANITZZ4clRURU9vAOffC7kCebDqQ_AO4Kusq5fAiwI52OXR830aTUveeV2VCJ_oatKzmpYhzBR8vU2oWaWn8d1yiT973QNtD1RxnnH6M6MA7IMnpizk8_c2CKc-1Fy3xR-YaZifuFQ_ERV37RF6EJROHblM85pV5vnLLuspS9pNX8gzSzx_sIkJxRk0-gRk_hjulUh4hZKYaRdgEGKwIvqvOQz20i_OTekZA=w640-h431-no   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-208;Photos;Picture;1910;Photo of  Mragarita Xirgu;;undetermined;;Margarita  Xirgu;edding of Margarita Xirgu Subirà and Josep Arnall. Leaving Santa Anna. September 1910. Photo: Ballell Maymí, Frederic;The original file is called:26804525_1679369692106080_5791842319466776818_n.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;622 × 960 81,1 ko;;;;;File JPG;Digital;Good;https://lh3.googleusercontent.com/35dP_AK9nSW3_BaCYncbGNZiu7bnZmf54c7b9t-46xyCJDZjUyEVjgmWIX4alL6U8xnt0nTNlRn7XGl2p27mmrkJOyQ8O21ZYOrMkD8L19myN7NVei74AdUuNfdxUSyHM7S6i88zPGq-VgQg1RD96Q9qWFEuEnlzW1p72xw5ryfyO81eiGYQO-MLilcPPW3Cd9a3Q2MYWGnKJRLYVjWrExtYext9rKyHbB2AHvZxhK8vk9G1bGhtgQC42uWwD0iyn_-MxQqK14l0xWupfHSSG27gFoEcbeqmqhAJTS8JjGAvIkNzBRre__IlEd6s2DaUvu9pKUqtQ4h8xS_hf6sMUIH4hncu-UZ0hBaWR00pS_FN9R1YwiycmczSk4BWmoI9_uaj92H333V6zwVl72mgd0QtcLLWQmINXX91eHmLsD8hD8JjUbjmDGzOZTCZdoIwh8o2FummZrGf8BQASpVYiuJCMOuoChUKzP9hQuqHkZWGBTOW0TN5i9XNNDPoBuilhPAAW6-ccZObf3ZSURuQPwTga0JI1Zoa2bsuBk_JC1kKHwuEWqFPLhBJqlg732bnsrtKxT2_iRxtHIuBHYhSlwF427BEh6daIhWU6pUq-mMlDv8HmnFgLaw-eB1nus6oqlP9NxM9CuG69QTuPTsKJ6IMIEzEyFiwYkB1Dx9ZjFKbO2gtKIqIFv1FNNzu2V76i80tfHKS9ypEeUlZSBwNVgAMQ6J2IO5xTMaIZ7oPiST6RrREqw=w426-h657-no   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-209;Photos;Picture;1967;Picture of Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Margarita Xirgu and her husband Miguel Ortín, at their home in Punta Ballena in 1967;The original file is called:  pb.jpg;;Responsible for the file: family archive Jordi Rius XirguPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;196x300;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/vivencia3/146/pb.jpg    (Last consultation:  2020-05-01);;Uruguay;;;;;;;;;;;;;;
 MX-F-210;Photos;Picture;1905-05-20;Picture of Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Margarita Xirgu and her husband Miguel Ortín, at their home in Punta Ballena in 1968;The original file is called: pb_2.jpg;;Responsible for the file: family archive Jordi Rius XirguPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;300x195;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/vivencia3/146/pb_2.jpg    (Last consultation:  2020-05-01);;Uruguay;;;;;;;;;;;;;;
 MX-F-211;Photos;Picture;1967;Picture of Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Margarita Xirgu and her husband Miguel Ortín, at their home in Punta Ballena in 1969;The original file is called: pb_2.jpg;;Responsible for the file: family archive Jordi Rius XirguPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;300x196;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/vivencia3/146/pb_2.jpg    (Last consultation:  2020-05-01);;Uruguay;;;;;;;;;;;;;;
 MX-F-212;Photos;Picture;1967;Picture of Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Margarita Xirgu and her husband Miguel Ortín, at their home in Punta Ballena in 1970;The original file is called: pb_3.jpg;;Responsible for the file: family archive Jordi Rius XirguPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;640 × 405 48 ko;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/vivencia3/146/pb_3.jpg    (Last consultation:  2020-05-01);;Uruguay;;;;;;;;;;;;;;
 MX-F-213;Photos;Picture;1971;Picture of Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Margarita Xirgu and her husband Miguel Ortín, at their home in Punta Ballena in 1971;The original file is called: pb_4.jpg;;Responsible for the file: family archive Jordi Rius XirguPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;640 × 401 53,2 ko;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/vivencia3/146/pb_4.jpg    (Last consultation:  2020-05-01);;Uruguay;;;;;;;;;;;;;;
 MX-F-214;Photos;Picture;1967;Picture of Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Margarita Xirgu and her husband Miguel Ortín, at their home in Punta Ballena in 1972;The original file is called: pb_5.jpg;;Responsible for the file: family archive Jordi Rius XirguPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;640 × 428 95,1 ko;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/vivencia3/146/pb_5.jpg   (Last consultation:  2020-05-01);;Uruguay;;;;;;;;;;;;;;
 MX-F-215;Photos;Picture;1967;Picture of Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Margarita Xirgu and her husband Miguel Ortín, at their home in Punta Ballena in 1973;The original file is called: pb_6.jpg;;Responsible for the file: family archive Jordi Rius XirguPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;640 × 411 91,9 ko;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/vivencia3/146/pb_6.jpg   (Last consultation:  2020-05-01);;Uruguay;;;;;;;;;;;;;;
 MX-F-216;Photos;Picture;1967;Picture of Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Margarita Xirgu and her husband Miguel Ortín, at their home in Punta Ballena in 1974;The original file is called: pb_7.jpg;;Responsible for the file: family archive Jordi Rius XirguPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;640 × 408 47,7 ko;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/vivencia3/146/pb_7.jpg   (Last consultation:  2020-05-01);;Uruguay;;;;;;;;;;;;;;
 MX-F-217;Photos;Picture;1888;Act of birth of  Margarita  Xirgu;;undetermined;;Margarita  Xirgu;;The original file is called : Centenari.jpg;;;Barcelona;;;Undetermined;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/biografi/biografi/target1.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-218;Photos;Picture;1970-1900;Acta de nacimiento y de  fallicimiento;;undetermined;;Birth and death certificates;;The original file is called : biografi;;;Barcelona;;;1557x1061;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/castellano/biografc/Centenari.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-219;Photos;Picture;1980-2000;Grave of Margarita Xirgu;;undetermined;;Margarita Xirgu;;The original file is called:  biografi/enterrament/images/1.jpg;;;Catalonia Spain;;;551x800;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/biografi/enterrament/images/1.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-220;Photos;Picture;1980-2000;Grave of Margarita Xirgu;;undetermined;;Margarita Xirgu;;The original file is called: biografi/enterrament/images/enterram1.jpg;;;Catalonia Spain;;;800X541;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/biografi/enterrament/images/enterram1.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-221;Photos;Picture;1980-2000;Margarita Xirgu dress;;undetermined;;Margarita Xirgu;;The original file is called:material/vestits/vestits/images/002.jpg;;;Catalonia Spain;;;287x640;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/vestits/vestits/images/002.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-222;Photos;Picture;1980-2000;Margarita Xirgu dress;;undetermined;;Margarita Xirgu;;The original file is called:material/vestits/vestits/images/IMG_2454.jpg;;;Catalonia Spain;;;266x400;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/vestits/vestits/images/IMG_2454.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-223;Photos;Picture;1980-2000;Margarita Xirgu dress;;undetermined;;Margarita Xirgu;;The original file is called:material/vestits/vestits/images/IMG_2536.jpg;;;Catalonia Spain;;;433x650;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/vestits/vestits/images/IMG_2536.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-224;Photos;Picture;1980-2001;Draws of Margarita Xirgu;;undetermined;;Margarita Xirgu;;The original file is called:material/figurins/bodas_20.jpg;;;Catalonia Spain;;;462x640;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bodas_20.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-225;Photos;Picture;1980-2002;Draws of Margarita Xirgu;;undetermined;;Margarita Xirgu;;The original file is called:material/figurins/bodas_16.jpg;;;Catalonia Spain;;;448x640;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bodas_16.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-226;Photos;Picture;1980-2003;Draws of Margarita Xirgu;;undetermined;;Margarita Xirgu;;The original file is called:material/figurins/bodas_02.jpg;;;Catalonia Spain;;;467x640;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bodas_02.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-227;Photos;Picture;1980-2004;Draws of Margarita Xirgu;;undetermined;;Margarita Xirgu;;The original file is called:material/figurins/bodas_01.jpg;;;Catalonia Spain;;;457x640;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bodas_15.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-228;Photos;Picture;1980-2005;Margarita Xirgu;;undetermined;;Margarita Xirgu;;The original file is called:material/figurins/bodas_15.jpg;;;Catalonia Spain;;;640x407;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bodas_01.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-229;Photos;Picture;1900-1920;Margarita Xirgu;;undetermined;;Margarita Xirgu;;The original file is called:material/figurins/bosangre/article/Imagen3.jpg;;;Catalonia Spain;;;251x322;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/article/Imagen3.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-230;Photos;Picture;1900-1920;Margarita Xirgu;;undetermined;;Margarita Xirgu;;The original file is called:material/figurins/bosangre/article/Imagen2.jpg;;;Catalonia Spain;;;220x256;;;;;Archivo JPG;Digital;Muy poor;http://margaritaxirgu.es/material/figurins/bosangre/article/Imagen2.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-231;Photos;Picture;2001;José Caballero;;undetermined;;José Caballero;;The original file is called:material/figurins/bosangre/article/Imagen5.jpg;;;Catalonia Spain;;;206x264;;;;;Archivo JPG;Digital;Muy poor;http://margaritaxirgu.es/material/figurins/bosangre/article/Imagen4.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-232;Photos;Picture;2000;Garcia Lorca;;undetermined;;Garcia Lorca;;The original file is called:material/figurins/bosangre/article/Imagen4.jpg;;;Catalonia Spain;;;177x264;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/article/Imagen5.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-233;Photos;Picture;2000;Garcia Lorca;;undetermined;;Garcia Lorca;;The original file is called:material/figurins/bosangre/article/Imagen6.jpg;;;Catalonia Spain;;;203x270;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/article/Imagen6.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-234;Photos;Picture;2000;Garcia Lorca;;undetermined;;Garcia Lorca;;The original file is called:material/figurins/bosangre/article/Imagen7.jpg;;;Catalonia Spain;;;189x264;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/article/Imagen7.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-235;Photos;Picture;2000;Garcia Lorca;;undetermined;;Garcia Lorca;;The original file is called:material/figurins/bosangre/article/Imagen8.jpg;;;Catalonia Spain;;;422x286;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/article/Imagen8.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-236;Photos;Picture;2000;Garcia Lorca;;undetermined;;Garcia Lorca;;The original file is called:material/figurins/bosangre/article/Imagen9.jpg;;;Catalonia Spain;;;238x246;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/article/Imagen9.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-237;Photos;Picture;Undetermined;Scene decoration;;undetermined;;Undetermined;;The original file is called:/castellano/material/figurin/bosangc.htm;;;Undetermined;;;381x261;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/article/Imagen13.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-238;Photos;Picture;Undetermined;Scene decoration;;undetermined;;Undetermined;;The original file is called: Deco_3_2.jpg;;;Undetermined;;;Undetermined;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/decbosan/bodas%20de%20sangre%20%2Bresoluci%F3/target0.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-239;Photos;Picture;Undetermined;Scene decoration;;undetermined;;Undetermined;;The original file is called: Deco_2_2.jpg;;;Undetermined;;;Undetermined;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/decbosan/bodas%20de%20sangre%20%2Bresoluci%F3/target1.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-240;Photos;Picture;Undetermined;Scene decoration;;undetermined;;Undetermined;;The original file is called:  Deco_2_1.jpg;;;Undetermined;;;Undetermined;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/decbosan/bodas%20de%20sangre%20%2Bresoluci%F3/target2.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-241;Photos;Picture;Undetermined;Scene decoration;;undetermined;;Undetermined;;The original file is called:  Deco_3_1.jpg;;;Undetermined;;;Undetermined;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/decbosan/bodas%20de%20sangre%20%2Bresoluci%F3/target3.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-242;Photos;Picture;Undetermined;Scene decoration;;undetermined;;Drawings and representations;;Imagen15.jpg;;;Undetermined;;;528x398;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/article/Imagen15.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-243;Photos;Picture;Undetermined;Draw from a represatation;;undetermined;;Drawings and representations;;Imagen16.jpg;;;Undetermined;;;554x388;;;;;Archivos JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/article/Imagen16.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-244;Photos;Picture;Undetermined;Draw froma represatation;;undetermined;;Drawings and representations;;Imagen17.jpg;;;Undetermined;;;552x379;;;;;Archivo JPG;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/article/Imagen17.jpg;;Undetermined;;;;;;;;;;;;;;
